gpu_type,gpu_count,containerized,molecule,scf_time,gradient_time,total_time,system,datetime
NVIDIA-A100-PCIE-40GB,1,TRUE,morphine,6.643246000,8.074201000,18.963636000,expanse,Thu Jan 18 10:36:59 2024
NVIDIA-A100-PCIE-40GB,2,TRUE,morphine,4.214635000,4.474140000,13.116883000,expanse,Thu Jan 18 10:37:19 2024
NVIDIA-A100-PCIE-40GB,3,TRUE,morphine,3.806321000,3.318024000,11.496085000,expanse,Thu Jan 18 10:37:33 2024
NVIDIA-A100-PCIE-40GB,1,TRUE,psb5,1.299491000,1.280677000,19.505161000,expanse,Thu Jan 18 10:36:26 2024
NVIDIA-A100-PCIE-40GB,2,TRUE,psb5,0.904503000,0.755967000,5.493714000,expanse,Thu Jan 18 10:36:47 2024
NVIDIA-A100-PCIE-40GB,3,TRUE,psb5,0.885853000,0.662103000,5.464528000,expanse,Thu Jan 18 10:36:53 2024
NVIDIA-A100-PCIE-40GB,1,TRUE,taxol,32.691907000,50.558595000,90.050375000,expanse,Thu Jan 18 10:37:45 2024
NVIDIA-A100-PCIE-40GB,2,TRUE,taxol,19.024204000,26.196977000,52.273246000,expanse,Thu Jan 18 10:39:15 2024
NVIDIA-A100-PCIE-40GB,3,TRUE,taxol,13.980938000,17.689090000,38.711183000,expanse,Thu Jan 18 10:40:08 2024
NVIDIA-A100-PCIE-40GB,1,TRUE,valinomycin,68.274292000,91.715287000,170.543972000,expanse,Thu Jan 18 10:40:47 2024
NVIDIA-A100-PCIE-40GB,2,TRUE,valinomycin,38.733948000,47.588636000,97.324604000,expanse,Thu Jan 18 10:43:38 2024
NVIDIA-A100-PCIE-40GB,3,TRUE,valinomycin,29.023696000,32.803316000,72.789496000,expanse,Thu Jan 18 10:45:16 2024
Tesla-V100-SXM2-32GB,1,TRUE,morphine,10.159216000,11.149222000,25.547529000,expanse,Tue Dec  5 17:18:35 2023
Tesla-V100-SXM2-32GB,2,TRUE,morphine,6.961654000,6.475234000,17.787465000,expanse,Tue Dec  5 17:19:01 2023
Tesla-V100-SXM2-32GB,4,TRUE,morphine,3.769085000,3.456015000,11.881666000,expanse,Tue Dec  5 17:19:20 2023
Tesla-V100-SXM2-32GB,1,TRUE,psb5,1.711561000,1.538733000,9.496778000,expanse,Tue Dec  5 17:18:13 2023
Tesla-V100-SXM2-32GB,2,TRUE,psb5,1.169310000,0.952171000,5.871153000,expanse,Tue Dec  5 17:18:23 2023
Tesla-V100-SXM2-32GB,4,TRUE,psb5,0.832297000,0.616535000,5.442532000,expanse,Tue Dec  5 17:18:29 2023
Tesla-V100-SXM2-32GB,1,TRUE,taxol,62.387076000,72.390627000,142.295767000,expanse,Tue Dec  5 17:19:32 2023
Tesla-V100-SXM2-32GB,2,TRUE,taxol,34.664436000,40.620064000,83.146873000,expanse,Tue Dec  5 17:21:55 2023
Tesla-V100-SXM2-32GB,4,TRUE,taxol,20.188295000,21.012092000,49.426916000,expanse,Tue Dec  5 17:23:19 2023
Tesla-V100-SXM2-32GB,1,TRUE,valinomycin,135.125694000,137.952943000,285.748650000,expanse,Tue Dec  5 17:24:09 2023
Tesla-V100-SXM2-32GB,2,TRUE,valinomycin,74.915791000,76.856647000,165.033891000,expanse,Tue Dec  5 17:28:55 2023
Tesla-V100-SXM2-32GB,4,TRUE,valinomycin,42.685243000,39.855125000,96.293599000,expanse,Tue Dec  5 17:31:40 2023
Tesla-V100-SXM2-32GB,1,TRUE,morphine,10.184101000,12.005153000,26.457979000,expanse,Fri Dec 15 08:44:00 2023
Tesla-V100-SXM2-32GB,2,TRUE,morphine,6.971209000,6.461185000,17.811097000,expanse,Fri Dec 15 08:44:27 2023
Tesla-V100-SXM2-32GB,4,TRUE,morphine,3.774130000,3.468365000,11.877885000,expanse,Fri Dec 15 08:44:46 2023
Tesla-V100-SXM2-32GB,1,TRUE,psb5,1.708390000,1.653290000,14.380885000,expanse,Fri Dec 15 08:43:32 2023
Tesla-V100-SXM2-32GB,2,TRUE,psb5,1.180038000,0.951610000,5.901094000,expanse,Fri Dec 15 08:43:48 2023
Tesla-V100-SXM2-32GB,4,TRUE,psb5,0.835652000,0.636935000,5.538076000,expanse,Fri Dec 15 08:43:54 2023
Tesla-V100-SXM2-32GB,1,TRUE,taxol,63.744539000,78.865300000,150.134496000,expanse,Fri Dec 15 08:44:58 2023
Tesla-V100-SXM2-32GB,2,TRUE,taxol,34.811498000,40.606238000,83.272712000,expanse,Fri Dec 15 08:47:29 2023
Tesla-V100-SXM2-32GB,4,TRUE,taxol,20.332126000,21.154863000,49.795317000,expanse,Fri Dec 15 08:48:53 2023
Tesla-V100-SXM2-32GB,1,TRUE,valinomycin,138.955736000,150.685166000,302.390420000,expanse,Fri Dec 15 08:49:43 2023
Tesla-V100-SXM2-32GB,2,TRUE,valinomycin,75.288781000,77.172112000,165.680845000,expanse,Fri Dec 15 08:54:46 2023
Tesla-V100-SXM2-32GB,4,TRUE,valinomycin,43.028300000,40.022495000,96.917224000,expanse,Fri Dec 15 08:57:32 2023
NVIDIA-GeForce-GTX-1080,1,TRUE,morphine,68.625688000,42.616518000,118.892448000,nrp,Mon Jan  8 23:26:23 2024
NVIDIA-GeForce-GTX-1080,2,TRUE,morphine,40.137360000,22.839285000,70.973465000,nrp,Mon Jan  8 23:28:22 2024
NVIDIA-GeForce-GTX-1080,4,TRUE,morphine,25.462796000,12.456371000,46.615584000,nrp,Mon Jan  8 23:29:34 2024
